STATISTIČNA REGIJA,STAROST,SPOL,LETO,PLAČA,MERITVE,DATA
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1442
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1473
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1536
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1578
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1602
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1597
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1637
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1657
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1702
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1740
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1802
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1863
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1970
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,2122
Gorenjska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2227
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1417
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1450
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1506
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1543
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1546
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1529
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1569
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1571
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1620
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1648
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1695
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1757
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1827
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1973
Goriška,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2084
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1365
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1395
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1484
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1532
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1564
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1558
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1615
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1630
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1662
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1690
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1751
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1831
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1932
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,2067
Jugovzhodna Slovenija,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2182
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1320
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1348
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1430
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1476
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1491
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1497
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1534
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1567
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1600
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1648
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1699
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1756
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1843
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1993
Koroška,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2089
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1466
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1513
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1562
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1611
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1626
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1622
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1668
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1682
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1720
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1746
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1784
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1863
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1952
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,2077
Obalno-kraška,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2198
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1620
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1677
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1739
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1779
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1797
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1792
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1823
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1848
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1879
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1909
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1968
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,2048
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,2133
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,2266
Osrednjeslovenska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2409
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1346
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1395
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1450
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1493
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1515
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1516
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1549
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1557
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1588
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1636
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1692
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1769
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1858
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1999
Podravska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2099
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1200
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1324
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1343
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1397
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1403
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1390
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1454
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1459
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1483
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1520
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1573
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1667
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1765
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1896
Pomurska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,1977
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1320
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1359
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1418
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1479
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1500
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1498
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1543
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1552
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1592
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1629
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1692
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1759
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1879
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,2028
Posavska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2113
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1313
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1362
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1398
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1449
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1476
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1476
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1514
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1535
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1571
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1613
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1667
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1733
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1817
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1948
Primorsko-notranjska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2065
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1427
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1477
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1538
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1582
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1601
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1598
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1637
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1652
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1686
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1722
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1778
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1851
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1942
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,2079
SLOVENIJA,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2193
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1320
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1353
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1425
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1467
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1489
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1492
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1533
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1548
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1574
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1616
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1667
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1726
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1809
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1948
Savinjska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2048
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2008,Bruto,Povprečje,1337
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2009,Bruto,Povprečje,1384
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2010,Bruto,Povprečje,1441
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2011,Bruto,Povprečje,1484
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2012,Bruto,Povprečje,1490
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2013,Bruto,Povprečje,1490
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2014,Bruto,Povprečje,1519
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2015,Bruto,Povprečje,1527
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2016,Bruto,Povprečje,1560
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2017,Bruto,Povprečje,1598
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2018,Bruto,Povprečje,1654
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2019,Bruto,Povprečje,1728
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2020,Bruto,Povprečje,1811
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2021,Bruto,Povprečje,1940
Zasavska,Starost - SKUPAJ,Spol - SKUPAJ,2022,Bruto,Povprečje,2061
